epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.3319,1.20604,2.45099,0.96329,0.01476,0.49675,0.28524,0.18232,1.15155,3.05823,0.89439,0.0704545,0.00328283,0.00328283
2,54.3569,1.09918,1.12789,0.90362,0.90631,0.58407,0.71663,0.46092,1.14481,1.38005,0.90879,0.0397995,0.00596116,0.00596116
3,79.3127,1.10091,1.00547,0.90484,0.85076,0.6705,0.74089,0.47267,1.20438,0.85554,0.93025,0.00848455,0.00797949,0.00797949
4,103.53,1.06613,0.92873,0.89294,0.8723,0.71366,0.77195,0.4808,1.05133,0.76724,0.89807,0.00703,0.00703,0.00703
5,128.113,0.95861,0.82716,0.88007,0.90787,0.72967,0.79279,0.54629,0.95511,0.68859,0.87218,0.00604,0.00604,0.00604
6,152.548,0.9128,0.76389,0.86861,0.89414,0.75504,0.79879,0.56959,0.87771,0.59587,0.87077,0.00505,0.00505,0.00505
7,177.193,0.84834,0.69142,0.85236,0.90524,0.73298,0.80174,0.56944,0.89134,0.58084,0.86934,0.00406,0.00406,0.00406
8,202.038,0.80413,0.67144,0.84481,0.89005,0.75611,0.8069,0.6042,0.80284,0.5327,0.85443,0.00307,0.00307,0.00307
9,226.998,0.77377,0.62594,0.83982,0.94327,0.74709,0.81917,0.61101,0.77067,0.5032,0.84393,0.00208,0.00208,0.00208
10,251.796,0.74183,0.60199,0.83326,0.88635,0.77599,0.82162,0.61944,0.77017,0.47623,0.84528,0.00109,0.00109,0.00109
